height,armspan,difference,gender
73,75,-2,Male
69,69,0,Male
74,72,2,Male
71,70,1,Male
70,70,0,Male
71.5,72.5,-1,Male
72,75.5,-3.5,Male
71.5,71,0.5,Male
74,76,-2,Male
68.5,71,-2.5,Male
75,76,-1,Male
73,71,2,Male
66,65,1,Male
74,74,0,Male
73,70,3,Male
70,69,1,Male
72,75.5,-3.5,Male
72,74,-2,Male
70,71,-1,Male
69,66,3,Male
74.5,74.5,0,Male
73.5,73.5,0,Male
73,73,0,Male
72.5,72.5,0,Male
72,72,0,Male
67.5,67,0.5,Male
70,70.5,-0.5,Male
72,72.5,-0.5,Male
70,69.5,0.5,Male
75,75.5,-0.5,Male
72,72,0,Male
73.5,73.5,0,Male
76.5,76,0.5,Male
72.5,72.5,0,Male
72,72,0,Male
72.5,72.5,0,Male
73.5,73.5,0,Male
75,75,0,Male
72,72,0,Male
76.5,76.5,0,Male
73,75,-2,Male
69,69.5,-0.5,Male
69.5,73,-3.5,Male
69,66.5,2.5,Male
71.5,72.5,-1,Male
70.5,73,-2.5,Male
78,80,-2,Male
73,77,-4,Male
71,70,1,Male
68,64,4,Male
64.5,67,-2.5,Female
63,65,-2,Female
68,68,0,Female
61.5,60.5,1,Female
66,66.5,-0.5,Female
65.5,65,0.5,Female
62,64,-2,Female
66,67,-1,Female
64.5,67,-2.5,Female
61.5,62.5,-1,Female
66.5,66,0.5,Female
64,64,0,Female
67.5,67.5,0,Female
64,64.5,-0.5,Female
63,63.5,-0.5,Female
64,64.5,-0.5,Female
65,65,0,Female
68.5,68.5,0,Female
62,62.5,-0.5,Female
66,66,0,Female
66,65.5,0.5,Female
65,64.5,0.5,Female
69,69,0,Female
63.5,63.5,0,Female
65,65.5,-0.5,Female
64.5,64.5,0,Female
62,62.5,-0.5,Female
70,70,0,Female
70,70,0,Female
63.5,63.5,0,Female
64,60,4,Female
67,65,2,Female
65,63,2,Female
65,65,0,Female
63,62,1,Female
68,66,2,Female
65,65,0,Female
64,63,1,Female
65,65,0,Female
66,65,1,Female
66,65,1,Female
65,64,1,Female
56,56,0,Female
63,62,1,Female
57,56,1,Female
67,66.5,0.5,Female
61,61,0,Female
65.5,66,-0.5,Female
61.5,62.5,-1,Female
64.5,65,-0.5,Female
